Applicant,Project Title,City,State,Organization Zip,Project Description,Absolute Priority,Competitive Preference Priority,Applicant Type,Grant Type,Award Length,Award Requested,Private Match Waiver,Location
Lansing School District,Promises Kep Consortium,Lansing,MI,48933,"""This project will use a combination of universal scholarships, additional standardized assessments, academic supports, mentoring, and college planning/preparation activities to improve student readiness for and success in postsecondary education. The project will be implemented in five communities across Michigan. Summary of Project Objectives and Expected Outcomes: This project seeks to (1) improve student academic and social readiness for postsecondary education, (2) remove financial barriers to college access, and (3) improve the retention rate of students in higher education. The project expects to see increased numbers of students entering higher education and succeeding there.  This will be achieved by students having a better understanding of expectations, processes, and resources and having improved academic preparation. Target Number of Students to be Served: This project will serve approximately 10,750 students over a five-year period. Special Project Features: This project is unique in that it presents a strategy for incorporating college readiness, access, and success activities across grades 8-14.  """,AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ consortium of schools,Validation,5 years,13819282,No,"Lansing, MI
(42.7329, -84.5527)"
Las Cruces School District #2,Transitions To Success,Las Cruces,NM,88001,"""Transitions to Success (T2S), a five-year development grant from  Las Cruces Public Schools (LCPS) of New Mexico, furthers a partnership with Do",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,LEA,Development,5 years,4572673,No,"Las Cruces, NM
(32.3175, -106.743)"
Las Virgenes Unified School District,I Thrive Thru Technology iT3,Calabasas,CA,91302,"""The iT3 proposal focuses on technological innovations implemented to develop college prepared cyber-citizens.  We will exploit and leverage the power of technology to make data driven decisions, offer differentiated instruction, provide just-in-time tutorials, share meaningful and timely information and provide a seamless continuum of transition services to college. Our research-based programs are model worthy. Summary of project objectives and expected outcomes:  Technology innovations - 1:1 computing for students and teachers, web-based data management programs and computer assisted instruction (CAI) will lead to increased critical thinking, differentiation, personalization and student engagement which will translate to increased student achievement as evidenced by statistically significant increase in number of students enrolled in college prep courses, advanced placement and Career Technical Academies, International Baccalaureate, graduation rate, college acceptance and increase on standardized test scores.Target number of students to be served: 7,600 LVUSD students in initial research projectSpecial project features:  Computer Assisted Instruction - I CAN Learn and ALEKS; 1:1 computing, use of web-based tools - Moodle, Quia, and Basecamp; Skype peer-tutoring, interactive whiteboards, data analysis programs MMARS/LARS, college awareness webinars, and Naviance Succeed.""",AP3: High Standards and High-Quality Assessments,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",LEA,Development,5 years,5000000,No,"Calabasas, CA
(34.1347, -118.657)"
Latino College Preparatory Academy,Future Teachers for a New Tomorrow,San Jose,CA,95127,"""As a way to build a workforce of effective teachers and principals, we will create Future Teachers for a New Tomorrow Clubs at high need middle and high schools in Santa Clara County.  The clubs will provide extended training of home grown teachers in the schools and districts where they will become teachers.  The project will provide mentors to assure that future teachers are well trained.  The clubs will combine instruction in teaching with practice, a combination that research indicates is the strongest method for teaching effective teachers.  The club members will tutor students younger than themselves at schools that feed into their own schools.  In this way, performance of at-risk students will be raised immediately while future teachers hone their teaching skills over a period of as much as six years before they begin the undergraduate training as teachers.  The program will hold a summer teaching camp each year to consolidate the learning of the future teachers and to recruit new future teachers and teacher-sponsors.  A feeling of isolation is a major cause of teacher attrition.  This program will create a local teacher association to which the future teachers will belong and in which they will continue to participate when they earn their credential.  In this way, a support structure is provided that will increase the length of time teachers spend in teaching as a career.  Club members will be taught in a uniform manner using live broadcasts weekly that will allow top educators to reach all the club members at once.  The San Jose Unified School District?s sophisticated Data Warehouse tracking system will be used to measure effects and permit changes in the program to be data driven.""",AP1: Effective Teachers and Principals,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",LEA,Development,5 years,4999850,Yes,"San Jose, CA
(37.3696, -121.818)"
"Law and Leadership Institute, LLC","Law and Leadership Institute, LLC",Columbus,OH,43204,"""The Law and Leadership Institute, LLC seeks funding through the Investing in Innovation Fund Development grant to fund program activities.  The Law and Leadership Institute ('LLI') is  a statewide, four-year program of study designed to increase the college attendance and graudation rates of high school students from under-served schools in the Ohio cities of Akron, Cleveland, Cincinnati, Columbus, Dayton and Toledo and ultimately prepare them to excel in their chosen professions.  LLI specifically aims to diversity the legal profession by establishing a pipeline of minority students who are provided significant exposure to careers in the law as well as the necessary academic training, life skills development and test preparation to be successful in college and law school. LLI has partnered with each of Ohio's nine law schools to conduct a 'Summer Institute' in law and leadership for at least four weeks in six cities.  In addition to instruction on writing, reading comprehension and leadership development, the Summer Institute includes a mock trial competition for rising 9th grade students, a paid intership at local law offices for rising 10th grade students and SAT/ACT test preparation for rising 11th grade students.  LLI also conducts programming and mentoring during the academic year to reinforce skills learned during the Summer Institute. Approximately 30 students in each city, or 180 statewide, enroll as rising 9th graders in the hallmark Summer Institute housed at one of eight Ohio law schools.  Each year, a new class of rising ninth graders will be admitted in each city.  Law students, assisted by a public high school teacher, serve as instructors for the Summer Institute classes. Established members of the legal profession voluteer as speakers, host field trips, encourage students to consider professional careers and help prepare students for the college application process.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ consortium of schools,Development,5 years,4401167,No,"Columbus, OH
(39.9559, -83.0822)"
Lawrence County Joint Vocational School District,THE LEARN PROJECT,Chesapeake,OH,45619,"""Project Description:  Lawrence County, Ohio is a rural county in southern Ohio that is characterized by high poverty rates and low educational attainment. The county has 23 public schools that comprise eight school districts.  The eight districts will  develop The Literacy Education And Retention Network.  Through the development of the network, literacy rates in each school district will be increased.  We will accomplish this through the implementation of a proven, research based software program.Summary of Project Objectives and Expected Outcomes:  The objectives of the LEARN project are to increase literacy and retention rates in each school with the expected outcome of increased graduation rates as well as enrollment rates into post secondary education.  Using a proven research based software programs students can achieve a 1 to 2 year gain in reading skills in 4 to 16 weeks. Special Project Features:  The LEARN project will have the capacity to be completely mobile and can be implemented with minimal additions to current staff.  It is also self sustainable at minimal cost after initial start up and implementation. Selected curriculum is applicable to K-12.""",AP2: Use of Data,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs, CP8: Rural LEAs",LEA,Validation,5 years,8551274,No,"Chesapeake, OH
(38.4307, -82.4547)"
Lawrence Hall Youth Services,Reach and Teach Model for the Holistic Education of At-Risk Youth,Chicago,IL,60625,"""Under the auspices of the i3 Fund, Lawrence Hall Youth Services anticipates that improved student achievement, graduation rates, and community college/vocational program enrollment are the results of holistic consistently practiced methods that are derived from evidence-based research and address the comprehensive needs of the whole student.  Aspects of the Reach and Teach Model are currently in place and have promising results.  The entire model, however, is still evolving; it requires more research, testing, data collection/analysis, and additional resources for full implementation within LHYS before it can be scaled up then replicated to other schools that serve a similar student population.""",AP2: Use of Data,CP7: Unique Learning Needs,Nonprofit w/ LEA,Development,3 years,2473884,No,"Chicago, IL
(41.9685, -87.7037)"
Lawrence Technological University,i3 Instructional Innovations Involving Hybrid Technological Pdagogy,Southfield,MI,48075,,,,(not provided),Development,,756297,No,"Southfield, MI
(42.4641, -83.2253)"
"Leadership for Educational Achievement Foundation,  Inc","The Rural Leadership Alliance: When Research, Practice and Community Support Systems are Aligned",Albany,NY,12207,"""Addressing Absolute Priority #1 and Competitive Priority #8 of the i3 grant, the Rural Leadership Alliance will provide professional development of the highest quality ot rural school principals throughout New York State, framed upon a multi-year, multi-tiered professional development delivery model that is research-based and aligned ot the ISLLC 2008 standards. The RLA will develop a cadre of highly experienced rural school coaches/mentors to guide theory into practice. Porgram content will include summer institutes and workshops based on established curriculum form the Mid-continent Research for Education and Learning and the Twin Tiers Coalition for Learning. The project will be guided by the unique experience of all project partners, including supplementary learning activities from the Leadership for Educational Achievement Foundation, Inc., the New York State Center for Rural Schools and the Rural Schools Association of New York. Ongoing coaching and use of technology will be integral components of the Rural Leadership Alliance.Ultimately, the project aims to serve 85,872 students. The Rural Leadership Alliance is a collaboration of nonprofit organizaitons including the Leadership for Educational Achievement Foundation, Inc. (LEAF), the Mid-continent Research for Education and Learning (McREL) and the Tiwn Tiers Coalition for Learning (TTCL and a consortium of high need rural school districts that includde the following LEAs: Bradford CSD, Brasher Falls CSD, Cincinnatus CSD, Downsville CSD, Dundee CSD, Elba CSD, Fallsburg CSD, Gouverneur CSD, Harrisville CSD, Jefferson CSD, Keene CSD, La Fargeville CSD, Laurens CSD, Lowville CSD, Margaretville CSD, New Lebanon CSD, Northville CSD, Norwood-Norfolk CSD, Oppenheim-Ephratah CSD, Roscoe CSD, Roxbury CSD, Schroon Lake CSD, Sharon Springs CSD, Whitney Point CSD. Other partners include the Rural Schools of New York State and the New York State Center for Rural Schools.""",AP1: Effective Teachers and Principals,CP8: Rural LEAs,Nonprofit w/ LEA,Development,5 years,4999786,No,"Albany, NY
(42.6524, -73.7544)"
LEARN,Using Data Day to Day: A Collaborative Process for School Improvement,Old Lyme,CT,6371,,,,(not provided),Development,,4203367,No,"Old Lyme, CT
(41.3288, -72.3094)"
"Learning Center, Inc.","Project G.R.O.W.: Growth, Results and Opportunities for the Whole Child in Schools across America",Murphy,NC,28906,"""The Learning Center! Project G.R.O.W. Growth, Results, Opportunities for the Whole Child in Schools across America is already 80% complete in a small, rural, economically disadvantaged school setting that serves 73.5% high need students.  With a focus on Absolute Priority 4- Innovations that Turn Around Persistently Low-Performing Schools and Competitive Preference 8, the project offers four targeted Components of Reform that produce whole-school results: 1) TAPROOT: A strong, broad-based literacy program inclusive of extended time with multi-level, multi-method lessons that teach social studies, healthy living (physical and environmental wellness), foreign language and character education  through the teaching of literacy in a cross curricular approach, giving real reasons to read and write in all subjects areas. 2)The S.T.E.M. (Science, Technology, Engineering and Math) Starting in Kindergarten, students spend extended time daily with an investigative / math basics, problem-solving approach to mathematics, science, technology and engineering while developing critical thinking skills that assure STEM literacy for all students 3) FLOWER:A diverse, multi-faceted enrichment/support program  is designed to engage and create a sense of community for all students and parents within an  academic environment supported through physical and environmental wellness. 4) ENVIRONMENT: The school must establish a give-and-receive relationship with the community at large - parents, community members, public agencies and private businesses - to create a healthy, competent, prepared for 21st Century ?Community of Learners?. Project G.R.O.W. embraces this 2 part hypothesis: All Four Components of Reform: 1. broad-based literacy 2. S.T.E.M.  3. Enrichment/Support and 4. ?Community of Learners?   must be present to produce sustainable growth in diverse and high-needs populations of learners within low performing schools in need of restructuring. Secondly, the Four Components of Reform c... [Truncated, 2000 Character Length Exceeded]""",AP4: Persistently Low-Performing Schools,CP8: Rural LEAs,N/A,Development,4 years,5000000,Yes,"Murphy, NC
(35.0673, -84.1262)"
"Learning through an Expanded Arts Program, LLC",Active Learning Leads to Literacy (ALLL),New York,NY,10024,"""ABSTRACT - The Active Learning Leads to Literacy Project (referred to as ALLL or the PROJECT) requests support under the Development category of the Investing in Innovation Fund. The PROJECT is intelligently designed to address a perennial education question concerning the link between the arts and differentiated teaching (to pupils displaying diverse learning styles). Since the evolution of homo sapiens, humans have created art; the arts are an essential part of our nature and all children respond to one art form or another. The PROJECT will further scientifically test the efficacy of a well-defined promising arts-integrated instructional methodology on the teaching and learning of English language arts skills by grades K - 2 pupils.The PROJECT uses drama, dance/creative movement, the visual arts, music, cooking, and games to promote growth in literacy skills of kindergarten through second grade pupils. Sample instructional activities include: making shapes of letters with their body while singing the sounds of the letter and dancing to reinforce letter recognition, creating phonic flap books to build decoding skills, miming to foster learning of new sight words, using puppets to tell stories, using drama presentations to teach character analysis, singing songs such as The Silent Letter 'E' to illustrate phonemic concepts, and other interactive strategies to teach the school's 'business as usual' (BAU) early childhood curriculum.""",AP3: High Standards and High-Quality Assessments,CP5: Early Learning,Nonprofit w/ consortium of schools,Development,4 years,4470458,No,"New York, NY
(40.7865, -73.9786)"
LearniT-TeachiT,Virginia's 21st Century e-Teacher Initiative,Washington,DC,20016,"""The Virginia 21st Century e-Teacher Program (21 e-Teacher) is a Development Grant Proposal, addressing i3Absolute Priority 1?Innovations that Support Effective Teachers. A three-year program will be implementedin two Virginia local education agencies (LEAs) that have demonstrated need (Manassas Park City andPortsmouth City) and a pilot program will be expanded in Virginia Beach City Public Schools (VBCPS).LearniT-TeachiT, along with the University of Virginia (UVA), the National Institute of Aerospace (NIA) andVBCPS, have formed a partnership to harness the power of 21st century e-Teaching to increase the number ofteachers who are highly effective with the subsequent outcome of improving student achievement.21 e-Teacher will train teams of teachers from each LEA for certification through UVA?s 21st Century e-TeacherGraduate Series, a rigorous online professional development program that leverages innovative coursewareinto Professional Learning Communities (PLCs) that result in an immediate and transformational impact onclassroom teaching. The courseware will expand to include new units on effectively integrating AssistiveTechnologies throughout all grades and subjects, a well-documented approach towards improving learningoutcomes for students with disabilities, thus addressing i3 Competitive Preference 7, as an innovation thataddresses the unique learning needs of students with disabilities. In Year 2, LEA teams will create their ownlocal Professional Development Programs as a non-credit version of 21 e-Teacher by assigning small groups ofUVA certified teachers from Year 1 to train additional cohorts of teachers. The result of their efforts will be acertified or local credential for more than 700 teachers across three LEAs, impacting approximately 16,000students as the program continues in Years 2 and 3 (see Table A1 in Section A for details).""",AP1: Effective Teachers and Principals,CP7: Unique Learning Needs,Nonprofit w/ LEA,Development,3 years,3073500,No,"Washington, DC
(38.9403, -77.0886)"
Lee County Board of Education,One to One iPad/iPod Touch in Education,Beattyville,KY,41311,"""A grassroots collaboration of Lee, Owsley, and Wolfe County School Districts, Northern Kentucky University, and Apple Computers wishes to implement the One to One iPad/iPod Touch in Education project. During the three (3) year grant period all high and middle school students will receive iPads and all students and the elementary schools will receive an iPod Touch. Teachers at these facilities willl receive MacBooks and the device their students are using. The project will create a digital learning cafe environment, focusing on the greatest areas of academic needs through a review of student testing and assessment scores. A Vanguard Group of 10 school district teachers will be formed at each district and will assist in the integration of these technologies into curriculums, lesson plans, and special assignments. This environment will foster 21st Century Learning Skill by providing the tools, staff professional development, and technical support to meet the following objectives and goals: 1) collaboration: devices will allow the follwing types of collaboration; student to student; teacher to student, and teacher to teacher; 2) creation: devices will empower and enable students to complete cross platform multimedial projects, utilizing Macs and Window devices; 3) Distribution of Data: protocols to distribute and collect data from both students and teachers, including iTunes U, Kentucky Encyclomedia, and district data servers to name a few; 4) Mobile Access of Data: anytime/anywhere access to approximately 3,200 students and 250 teachers in Lee, Owsley, and Wolfe Counties in Eastern Kentucky through distribution of devices, organizing Vanguard Groups, professional development, and collecting research and grant related data.""",AP4: Persistently Low-Performing Schools,CP8: Rural LEAs,LEA,Development,3 years,3675149,No,"Beattyville, KY
(37.5784, -83.7081)"
Leon County Schools,The Promise of Algebra: Teaching Math Beyond Textbooks and Classroom Walls,Tallahasse,FL,32304,,,,(not provided),Development,,4939248,No,"Tallahasse, FL
(30.4245, -84.3242)"
Lesley University,A Validation of the Literacy Collaborative School Improvement Program,Cambridge,MA,2138,"""This five-year Investing in Innovation Validation project will address the need to strengthen early literacy instruction for high-needs students, who would otherwise struggle in early grades without a high quality literacy learning environment, through a partnership of three large school districts; a consortium of rural schools; a school improvement program, Literacy Collaborative (LC), that trains school-based literacy coaches and supports whole-school improvement; Teachscape, an innovative educational technology company; and a research and development center, the Center on Teaching and Learning at the University of Oregon. The project will build on a recent IES-funded study that showed a 32% value-added increase in student literacy growth in 17 LC schools. In this project, the partners will work together to create a blended face-to-face and online version of LC's rigorous coach training program, create new technology-supported tools for using data in LC schools, and implement LC in 92 schools. A randomized trial of the LC program will further test its ability to raise student achievement for more types of high-needs students. We will gather data about educational practices that are effective for students who are English language learners, have disabilities, or attend rural schools. At the end of the project, all 92 schools will have trained coaches and the districts will be prepared to expand and sustain the program.  Literacy Collaborative will also have a blended training program and new technology tools so it can be scaled-up to a regional or state level. We estimate that 37,000 students will participate in the LC program during the five project years.""",AP3: High Standards and High-Quality Assessments,CP7: Unique Learning Needs,Nonprofit w/ LEA,Validation,5 years,24640452,No,"Cambridge, MA
(42.3775, -71.1312)"
Lewis Center for Educational Research,K 16 Bridge Program Partnership Project,Apple Valley,CA,92307,"""The Lewis Center for Educational Research will develop and expand the K16 Bridge Program Partnership Project to significantly increase the number of high risk high school students in California and Texas who will complete high school, transition to a postsecondary educational instituiton and complete a course leading to a certificate or degree. Currently the program is limited to the number of students reached, but with the assistance of an extensive network of collaborating LEAs, State agencies high schools, non-profit organizations, we will expand the successful but limited efforts of the K16 Bridge Program to serve a minimum of 500,000 students through 69 school districts across California and Texas.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP8: Rural LEAs",Nonprofit w/ LEA,Development,4 years,5000000,No,"Apple Valley, CA
(34.5247, -117.198)"
Liberty Public Schools,Center for Innovative Instruction & Technology,Liberty,MO,64068,"""If Liberty Public Schools increases student usage of technology in and out of school and enhances the use of technology throughout the curricullum, then students' academic achievement will improve.  Liberty  Public School's project is based on the belief tihat educators must become an active community of practice by reshaping curriculum, facilities, resources and move professional development from strategies of lectiure to experience designers.- By June 2016, Liberty Public Schools will enhance instriuctional programs to improve performance and enable students   to meet their personal, academic, and career goals.- By the year 2016, Liberty Public Schools will provide and maintain appropriate instriuctional resources, support services,   and functional and safe facilities.-  By June 2015, district will promote, facilitate, and enhance parent, student, and community involvement in technology   department and programming.LPS's comprehensive i3 project combines these components to insure increase academic achievement:Professional Development, Curriculum Cycles, Center for Facilitation, Instruction, and Technology, and TechnologicalDevices.""",AP3: High Standards and High-Quality Assessments,"CP5: Early Learning, CP6: College Access and Success College Access and Success",LEA,Development,4 years,4249370,No,"Liberty, MO
(39.2765, -94.4233)"
Liberty's Promise,Academic Achievement through Community Engagement for Hisk-Risk Students,Alexandria,VA,22314,"""This project, Academic Achievement through Community Engagement for High-Need Students, addresses Absolute Priority 3: Innovations that Complement the Implementation of High Standards and High-Quality Assessments by helping students, particularly youth who are identified as Limited English Proficient (LEP), improve academically and complete high school.  Liberty's Promise, a nonprofit organization that supports low-income, immigrant youth, will carry out a community engagement project in partnership with a consortium of seven public high schools in suburban Maryland.  This intervention involves a 30-hour, 10-week, after-school program of civic engagement and (for legally documented youth) an eight-week professional internship.  During the three-year grant period, we expect to serve 900 LEP students in our after-school program.  Of those youth, 360 (40%) will also intern at a local nonprofit organization, government agency, or small business, typically during the summer.  The Department of Social Work at George Mason University will undertake an ongoing evaluation of the project.To help LEP youth achieve academically, we have three objectives: (1) 80% of our youth increase their civic knowledge and understanding of their community, (2) 60% of our youth become more engaged in the community, and (3) 80% of our youth pursue pathways to college and/or employment.Sessions of the after-school programs of civic engagement will occur twice a year (once in the spring and once in the fall) at partner schools or at local community sites.  Each session will be held twice per week. For each program, a course facilitator will be hired to run each session and introduce youth to the day's topic. The program consists of group activities, field trips into the community, and guest speakers.  Sessions include financial literacy, college and scholarship representatives, panels of speakers from local organizations to enhance community involvement, and job preparedness workshops.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ consortium of schools,Development,3 years,1299703,Yes,"Alexandria, VA
(38.7999, -77.0517)"
"Life Services System of Ottawa County, Inc.",Parents and Communities United for Success,Holland,MI,49423,"""Life Services System (LSS) is proposing a strategy that involves combining several proven programs, with some supplementation, to create a continuum of support from Birth through 3rd grade (0-8).  The program goals will be accomplished through a targeted approach to reform involving augmenting the school week/year with more time for students to learn core academic content; integrating support services to address the non-academic barriers of children, beginning at an early age; engaging parents in their children's development and learning, starting at birth; establishing a protocol for schools and parents to work together on an educational plan for their student/child; and securing the private sector's support and understanding of the importance of early childhood learning.""",AP4: Persistently Low-Performing Schools,"CP5: Early Learning, CP7: Unique Learning Needs, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Validation,5 years,21938400,No,"Holland, MI
(42.7795, -86.1106)"
Lincoln Public School Department,Transforming Lincoln's Kindergarten Program: Extending Time and Integrating Instruction to Support the Development of the Whole Child,Lincoln,RI,2865,,AP2: Use of Data,CP5: Early Learning,LEA,Development,5 years,4999846,Yes,"Lincoln, RI
(41.9103, -71.438)"
Lincoln Public Schools,"ACE - Analyze, Create, Evaluate",Lincoln,NE,68510,"""LPS proposes to implement this project to guarantee a highly effective teacher in every classroom and a highly effective principal in every school by creating an interconnected system of appraisal, professional development, and student achievement for 35,000 students. This Validation project will analyze, create and evaluate (ACE) the system continuously. The perpetual motion towards excellence will improve student achievement for all student groups. The Grow Our Own focus program will include partnerships with Doane College and the University of Nebraska Lincoln focused on teacher and administrator development, recruitment, induction, and on-going professional development based on the effective teacher/principal targets established in the new appraisal systems. This grant will support the implementation of a new teacher appraisal system and a new principal appraisal system linked to a technology system to enhance the use of student data in both formative and summative ways.The objectives of the project are grouped under the following goals: 1) Implement newly developed, research supported teacher appraisal system; 2) Implement the principals' appraisal system; 3) Teachers and principals that receive grant interventions will improve effectiveness through an integrated professional development plan based on the results of the teacher/principal appraisal system supported through the use of technology; 4) Pre-service teacher candidates receiving grant interventions will have stronger impact on student achievement. Primary outcomes will be: a) Increased number of effective teachers and principals; b) improved evaluation and supervision system that fosters highly effective teachers and principals; c) Improved student achievement for all students; and, d) Improved use of data to increase student achievement. Official partners for the project include: University of Nebraska Lincoln, and Doane College.""",AP1: Effective Teachers and Principals,"CP5: Early Learning, CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",LEA,Validation,5 years,17351147,No,"Lincoln, NE
(40.8045, -96.6517)"
Lincoln University,Investing In Innvoation at Lincoln University,Lincoln University,PA,19352,"""Lincoln University, in keeping with its 150-year history of educating African Americans as well as other underrepresented groups in society, is proposing to sponsor an Investing in Innovation project which will serve approximately 360 students (ninety per target school) in the Philadelphia School District.   These participants will come from three target schools that have been identified as low performing by the state of Pennsylvania and one target school that is currently in warning status.  The city of Philadelphia, which makes up the county of Philadelphia, is the eighth largest school district in the nation.  After nine years of state-mandated requirements to restructure the entire school system, Philadelphia still struggles to provide an adequate education to its young people.  The schools targeted for service in this proposal currently do not have enough textbooks for their students to take home.  Students from these schools have some of the lowest scores in the state on the standardized test mandated by the No Child Left Behind Act.  The graduation rates for these schools are low.  The dropout rate for three of the target schools is eight times greater than the Chester, Montgomery, Bucks and Delaware, school districts which are the surrounding counties.The overall purpose of the Investing in Innovation project at Lincoln University will be to close the achievement gap of the target schools by decreasing the dropout rates, increasing high school graduation rates, increasing college enrollment and completion rates, increasing the number of students at each school who attain a proficient level or above on the 11th grade Pennsylvania System of School Assessment""",AP4: Persistently Low-Performing Schools,CP6: College Access and Success College Access and Success,Nonprofit w/ consortium of schools,Development,5 years,5000000,No,"Lincoln University, PA
(39.7696, -75.8906)"
"Lincoln-Marti Charter Schools, Inc.",The Academy of Technology and Multimedia Studies at Lincoln-Marti Charter Schools?????,Miami,FL,33135,"""The Academy of Technology and Multimedia Studies (ATMS) at Lincoln-Marti Charter Schools will serve as the 9th-12th grade Program of Studies at Lincoln-Marti Charter Schools. Upon acceptance into the Academy, students will participate in a program that will prepare them to lead the next generation of multimedia artists and producers.  Students will have access to the latest industry-specific equipment and resources.  The curriculum will emphasize real world instruction and the cutting-edge technology that drive the film, television, radio, music business, graphic design, web design, and computer animation industries.  Students and faculty will participate regularly in conferences and workshops to sharpen their skills and keep abreast with the latest technology and industry standards and practices.  The Academy will offer students the opportunity to participate in field-based learning opportunities which will facilitate student's network within the industry.  The curriculum will offer a strong four-year foundation in various areas of multimedia productions, taught by certified instructors, in-field professionals and professors from adjoining colleges.  Dual enrollment college-level courses will bridge the pathway from high school to college.""",AP3: High Standards and High-Quality Assessments,CP6: College Access and Success College Access and Success,Nonprofit w/ LEA,Validation,3 years,2400000,Yes,"Miami, FL
(25.7669, -80.2387)"
"Little Dixie Community Action Agency, Inc.",Project SUCCESS (School Utilizing Community Collaborations to Ensure Student Success,Hugo,OK,74743,"""Little Dixie Community Action Agency, Inc.(LDCAA)  is requested $4,999,841 in funding from  the U.S. Department of Education's Investing in Innovation fund  in order to operate PROJECT SUCCESS (Schools Utilizing Community Collaborations to Ensure School Success.  Project SUCCESS is a collaboration between LDCAA and 5 partnering public school districts in grades pre-k through three, all schools are located in rural southeast Oklahoma.  Project SUCCESS will implement a successful model for supporting effective teachers and principals which has been field tested by LDCAA for five years through funding provided by the U.S. Department of Education's Early Reading First Program.  The model incorporates three key components:  extensive professional development; a quality classroom environment, and intense parent involvement.  Project SUCCESS will expand on this model to include a technology component in order to ensure cost efficiency in regards to information dissemination and project replication across an unlimited geographic area.  In addition, Project SUCCESS will also include a research component which will provide data on the hypothesis that through the use of technology  effective professional development can be delivered to teachers in remote locations and at a reasonable cost.""",AP1: Effective Teachers and Principals,"CP5: Early Learning, CP8: Rural LEAs",Nonprofit w/ consortium of schools,Development,3 years,4999841,Yes,"Hugo, OK
(34.0057, -95.514)"
Lone Star College System,College Readiness Course Series,The Woodlands,TX,77381,"""Lone Star College-Online is part of the Lone Star College System (LSCS), an innovative and comprehensive two-year community college system located in the north Houston, Texas area. The LSCS is the second-largest community college system in the state of Texas, providing educational programs and services to over 135,000 students annually and encompassing over 1400 square miles.Lone Star College-Online, the online teaching and learning division of the LSCS, requests funding for an i3 Development Grant for the purpose of creating the College Readiness Course Series (CRCS). The College Readiness Course Series will include multiple courses designed to bridge skill gaps of an estimated 7,000 high-need students not eligible for dual-credit course entry during their sophomore or junior year. Program Goals are to:1. Prepare high-need students for college level courses while in high school2. Reduce the number of developmental education courses at the college level.3. Increase high school graduation rates.4. Increase college enrollment and student successThe CRCS Project is a collaborative effort between our K-12 partner Aldine ISD and Lone Star College System faculty. As a 2009 Broad Prize winner for Urban Education in 2009, Aldine ISD is uniquely positioned to provide the targeted population of students with the opportunity of participating in this project. Aldine ISD is fully accredited from the Texas Education Agency and in 2008 was the 11th largest school district in Texas.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Development,5 years,5000000,No,"The Woodlands, TX
(30.1685, -95.4896)"
Lone Star College System,Destination Lone Star College,The Woodlands,TX,77381,"""Destination Lone Star College is a collaborative effort between our local ISD?s and Lone Star College System faculty. This program will serve approximately 69,547 students. Lone Star College System, as the primary applicant, is seeking $30,000,000.00 through the Investing in Innovation Fund to support a community-wide initiative that will target and support the efforts of at-risk students attending fifteen (15) area high schools and eight (8) independent school districts (ISDs), as they become aware of and prepared to enter college level courses. LSCS is working with private sector partners to secure an additional $6 million in matching funds for this project. As the applicant, LSCS intends to facilitate the entire project and budget while working with the ISDs. The technology along with the technological support will be provided directly to the schools from LSCS. Ultimately, Lone Star College System intends to increase student achievement and attainment, by building off of its proven evidence-based interventions, activities, and programs.Destination Lone Star College?s goals are based on the assumptions that students who successfully transition from high school to college are (1) aware of their options and college requirements at an early age; and (2) academically prepared students that are able to move directly into college level courses, shortening the length of time and expenses required to obtain higher education.Program Goals are to:1. Destination Lone Star College creates an opportunity for high school students attending at-risk schools to develop a college-going culture.2. Destination Lone Star College will increase academic preparation for students in danger of being under-prepared for college level courses.""",AP3: High Standards and High-Quality Assessments,"CP6: College Access and Success College Access and Success, CP7: Unique Learning Needs",Nonprofit w/ LEA,Validation,5 years,30000000,No,"The Woodlands, TX
(30.1685, -95.4896)"
